dt,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
1970-01-01 00:00:01.609455600,2,400.54,2.29,44.55,10.64,5.96,5.03,7.76,2.53
1970-01-01 00:00:01.609459200,2,383.85,0.8,42.5,20.21,5.36,5.17,8.03,2.6
1970-01-01 00:00:01.609462800,2,400.54,0.88,44.55,20.21,5.36,6.72,10.22,3.01
1970-01-01 00:00:01.609466400,2,423.91,1.79,47.3,13.23,5.42,8.35,12.65,3.42
1970-01-01 00:00:01.609470000,2,440.6,2.91,47.98,9.12,5.13,9.36,14.02,3.55
1970-01-01 00:00:01.609473600,2,447.27,4.75,47.3,5.45,4.83,10.1,14.93,3.29
1970-01-01 00:00:01.609477200,2,423.91,3.63,43.18,5.36,5.36,8.49,12.74,2.88
1970-01-01 00:00:01.609480800,1,407.22,2.49,39.41,7.33,5.96,7.59,11.26,2.91
1970-01-01 00:00:01.609484400,1,403.88,2.46,38.39,7.51,6.08,7.9,11.51,2.85
1970-01-01 00:00:01.609488000,1,420.57,4.08,39.41,4.65,6.56,9.39,13.34,3.14
1970-01-01 00:00:01.609491600,2,447.27,8.05,40.1,1.65,7.39,11.4,16.0,3.58
1970-01-01 00:00:01.609495200,2,460.63,11.74,38.73,0.69,8.11,12.52,17.53,3.77
1970-01-01 00:00:01.609498800,2,480.65,15.42,39.07,0.37,8.82,13.83,19.18,4.05
1970-01-01 00:00:01.609502400,3,600.82,32.19,43.18,0.03,10.25,20.8,28.14,6.02
1970-01-01 00:00:01.609506000,4,700.95,45.6,51.41,0.03,12.4,25.46,34.67,7.47
1970-01-01 00:00:01.609509600,4,761.03,54.99,58.26,0.89,14.66,27.93,38.76,8.23
1970-01-01 00:00:01.609513200,4,761.03,56.33,61.69,3.53,16.45,27.35,38.88,6.52
1970-01-01 00:00:01.609516800,3,640.87,42.47,65.12,8.05,20.5,20.28,29.71,5.83
1970-01-01 00:00:01.609520400,2,600.82,41.13,67.86,11.27,23.6,18.84,28.62,5.89
1970-01-01 00:00:01.609524000,2,574.11,39.34,67.86,12.34,24.32,17.24,27.02,5.64
1970-01-01 00:00:01.609527600,2,547.41,33.53,68.55,9.21,23.13,15.8,24.2,5.13
1970-01-01 00:00:01.609531200,2,540.73,27.94,67.86,5.81,21.94,15.16,22.07,4.69
1970-01-01 00:00:01.609534800,2,527.38,21.23,67.17,2.39,19.55,14.34,20.73,4.18
1970-01-01 00:00:01.609538400,2,580.79,27.94,66.49,0.13,17.64,16.12,22.68,4.18
1970-01-01 00:00:01.609542000,3,714.3,45.6,71.29,0.0,16.69,21.84,29.46,4.62
1970-01-01 00:00:01.609545600,4,814.44,54.99,74.71,0.0,14.42,27.22,35.96,4.69
1970-01-01 00:00:01.609549200,4,834.47,54.09,74.71,0.0,11.92,29.5,38.67,4.24
1970-01-01 00:00:01.609552800,4,801.09,47.39,74.71,0.0,10.61,27.93,36.7,3.58
1970-01-01 00:00:01.609556400,4,741.01,39.34,76.77,0.0,9.89,25.19,33.28,3.07
1970-01-01 00:00:01.609560000,3,654.22,28.16,74.71,0.03,9.42,20.58,27.28,2.44
1970-01-01 00:00:01.609563600,2,514.03,11.62,66.49,1.05,8.23,12.89,17.52,1.47
1970-01-01 00:00:01.609567200,2,390.53,1.24,48.67,13.59,6.08,6.89,9.6,0.86
1970-01-01 00:00:01.609570800,1,357.15,0.23,36.67,24.68,4.35,5.68,7.79,0.7
1970-01-01 00:00:01.609574400,1,380.52,0.57,39.76,17.7,3.93,7.26,9.48,0.75
1970-01-01 00:00:01.609578000,2,413.9,1.9,44.55,8.23,4.17,8.99,11.36,0.84
1970-01-01 00:00:01.609581600,2,427.25,4.86,45.93,2.62,4.35,10.01,12.62,0.89
1970-01-01 00:00:01.609585200,2,440.6,9.5,48.67,0.67,5.31,11.13,13.72,0.94
1970-01-01 00:00:01.609588800,2,473.98,12.85,54.84,1.23,6.02,13.48,16.45,1.2
1970-01-01 00:00:01.609592400,2,380.52,0.86,44.55,16.63,5.54,9.09,11.19,0.71
1970-01-01 00:00:01.609596000,1,360.49,2.6,32.9,23.96,4.65,6.01,7.88,0.78
1970-01-01 00:00:01.609599600,1,337.12,4.97,20.05,32.54,4.35,3.63,5.13,0.75
1970-01-01 00:00:01.609603200,1,300.41,4.08,12.17,39.7,3.87,2.55,3.6,0.59
1970-01-01 00:00:01.609606800,1,293.73,4.08,12.17,35.05,3.93,2.44,3.45,0.62
1970-01-01 00:00:01.609610400,1,300.41,3.63,13.71,30.4,3.87,2.42,3.43,0.69
1970-01-01 00:00:01.609614000,1,307.08,3.38,14.22,28.97,3.34,2.15,3.13,0.72
1970-01-01 00:00:01.609617600,1,307.08,3.41,14.22,30.04,3.19,1.9,2.85,0.74
1970-01-01 00:00:01.609621200,1,317.1,2.24,16.97,30.04,3.07,1.83,2.76,0.77
1970-01-01 00:00:01.609624800,1,330.45,0.43,23.65,26.46,3.16,2.24,3.33,0.95
1970-01-01 00:00:01.609628400,1,353.81,0.48,30.5,21.64,3.28,3.3,4.83,1.28
1970-01-01 00:00:01.609632000,1,380.52,0.95,37.01,16.99,3.37,5.04,7.25,1.63
1970-01-01 00:00:01.609635600,2,407.22,1.69,41.81,12.52,3.52,6.99,9.99,1.9
1970-01-01 00:00:01.609639200,2,407.22,1.69,41.47,12.16,3.37,7.67,11.11,1.85
